iShares Core MSCI Total International Stock ETF
Fund Holdings as of,"Oct 24, 2024"
Inception Date,"Oct 18, 2012"
Shares Outstanding,"547,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INVE B","INVESTOR CLASS B","Financials","Equity","60,976,039.51","0.16","60,976,039.51","2,123,467.00","28.72","Sweden","Nasdaq Omx Nordic","USD","10.58","SEK","-"
"HOLN","HOLCIM LTD AG","Materials","Equity","60,930,741.40","0.16","60,930,741.40","639,153.00","95.33","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"1810","XIAOMI CORP","Information Technology","Equity","60,860,349.14","0.16","60,860,349.14","18,729,200.00","3.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"SU","SUNCOR ENERGY INC","Energy","Equity","60,488,132.46","0.16","60,488,132.46","1,569,552.00","38.54","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","59,674,920.76","0.16","59,674,920.76","3,007,140.00","19.84","China","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"TRP","TC ENERGY CORP","Energy","Equity","59,590,929.53","0.16","59,590,929.53","1,268,047.00","46.99","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","59,221,611.48","0.15","59,221,611.48","2,902,050.00","20.41","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","58,819,615.34","0.15","58,819,615.34","1,466,800.00","40.10","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.77","HKD","-"
"BARC","BARCLAYS PLC","Financials","Equity","58,646,688.87","0.15","58,646,688.87","18,245,238.00","3.21","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"ALC","ALCON AG","Health Care","Equity","57,680,876.88","0.15","57,680,876.88","611,430.00","94.34","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"MBG","MERCEDES-BENZ GROUP N AG","Consumer Discretionary","Equity","57,046,386.23","0.15","57,046,386.23","905,294.00","63.01","Germany","Xetra","USD","0.93","EUR","-"
"EXPN","EXPERIAN PLC","Industrials","Equity","56,877,131.49","0.15","56,877,131.49","1,135,915.00","50.07","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"9433","KDDI CORP","Communication","Equity","56,806,365.61","0.15","56,806,365.61","1,827,500.00","31.08","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","56,607,065.63","0.15","56,607,065.63","8,599,179,340.00","0.66","Japan","-","USD","151.91","JPY","-"
"ATCO A","ATLAS COPCO CLASS A","Industrials","Equity","56,604,510.76","0.15","56,604,510.76","3,338,294.00","16.96","Sweden","Nasdaq Omx Nordic","USD","10.58","SEK","-"
"LONN","LONZA GROUP AG","Health Care","Equity","56,393,376.51","0.15","56,393,376.51","87,956.00","641.15","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"BN","DANONE SA","Consumer Staples","Equity","55,999,008.60","0.15","55,999,008.60","788,670.00","71.00","France","Nyse Euronext - Euronext Paris","USD","0.93","EUR","-"
"7741","HOYA CORP","Health Care","Equity","55,691,889.93","0.14","55,691,889.93","424,600.00","131.16","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"GIVN","GIVAUDAN SA","Materials","Equity","55,055,428.57","0.14","55,055,428.57","11,385.00","4,835.79","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","54,831,959.86","0.14","54,831,959.86","623,381.00","87.96","Canada","Toronto Stock Exchange","USD","1.38","CAD","-"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrials","Equity","54,792,528.47","0.14","54,792,528.47","3,942,000.00","13.90","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","54,527,493.25","0.14","54,527,493.25","5,391,000.00","10.11","Japan","Tokyo Stock Exchange","USD","151.91","JPY","-"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","54,527,676.76","0.14","54,527,676.76","3,630,338.00","15.02","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DSV","DSV","Industrials","Equity","54,253,109.21","0.14","54,253,109.21","250,033.00","216.98","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.91","DKK","-"
"1120","AL RAJHI BANK","Financials","Equity","54,075,400.40","0.14","54,075,400.40","2,392,311.00","22.60","Saudi Arabia","Saudi Stock Exchange","USD","3.76","SAR","-"
"SIKA","SIKA AG","Materials","Equity","53,616,669.55","0.14","53,616,669.55","187,280.00","286.29","Switzerland","SIX Swiss Exchange","USD","0.87","CHF","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","53,606,708.85","0.14","53,606,708.85","1,113,446.00","48.14","India","National Stock Exchange Of India","USD","84.08","INR","-"
"BAS","BASF N","Materials","Equity","53,394,299.24","0.14","53,394,299.24","1,074,196.00","49.71","Germany","Xetra","USD","0.93","EUR","-"
"DB1","DEUTSCHE BOERSE AG","Financials","Equity","53,336,671.29","0.14","53,336,671.29","229,009.00","232.90","Germany","Xetra","USD","0.93","EUR","-"
"RKT","RECKITT BENCKISER GROUP PLC","Consumer Staples","Equity","53,214,834.65","0.14","53,214,834.65","844,797.00","62.99","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"IFX","INFINEON TECHNOLOGIES AG","Information Technology","Equity","52,577,656.97","0.14","52,577,656.97","1,589,758.00","33.07","Germany","Xetra","USD","0.93","EUR","-"
